"year","total","region","type","population","providerRate","percentFemale","percentAge"
2011,32,"Greensboro","ahec",1136068,0.28,0.25,0.0938
2012,31,"Greensboro","ahec",1147212,0.27,0.2581,0.129
2013,34,"Greensboro","ahec",1154755,0.29,0.2647,0.1471
2014,32,"Greensboro","ahec",1163764,0.27,0.2813,0.1563
2015,32,"Greensboro","ahec",1173064,0.27,0.3125,0.125
2016,33,"Greensboro","ahec",1180482,0.28,0.3333,0.1515
2017,38,"Greensboro","ahec",1190264,0.32,0.3158,0.1316
2000,14,"Mountain","ahec",672306,0.21,0.0714,0
2001,15,"Mountain","ahec",681837,0.22,0.0667,0
2002,15,"Mountain","ahec",692197,0.22,0.0667,0
2003,16,"Mountain","ahec",702555,0.23,0.0625,0
2004,16,"Mountain","ahec",703634,0.23,0.0625,0.0625
2005,19,"Mountain","ahec",709033,0.27,0.1053,0.0526
2006,20,"Mountain","ahec",717342,0.28,0.1,0.05
2007,20,"Mountain","ahec",706233,0.28,0.1,0.05
2008,22,"Mountain","ahec",732921,0.3,0.1364,0.0455
2009,24,"Mountain","ahec",739965,0.32,0.125,0.0417
2010,24,"Mountain","ahec",761986,0.31,0.1667,0.0833
2011,26,"Mountain","ahec",770362,0.34,0.1923,0.1154
2012,27,"Mountain","ahec",769642,0.35,0.1852,0.1111
2013,26,"Mountain","ahec",776064,0.34,0.1923,0.0769
2014,26,"Mountain","ahec",781867,0.33,0.1923,0.0769
2015,28,"Mountain","ahec",789383,0.35,0.1786,0.1071
2016,28,"Mountain","ahec",799550,0.35,0.1786,0.1071
2017,29,"Mountain","ahec",807857,0.36,0.2069,0.1724
2000,38,"Northwest","ahec",1395832,0.27,0.0789,0.0789
2001,42,"Northwest","ahec",1416307,0.3,0.1429,0.0714
2002,42,"Northwest","ahec",1437391,0.29,0.119,0.0714
2003,43,"Northwest","ahec",1458480,0.29,0.1163,0.0698
2004,44,"Northwest","ahec",1459487,0.3,0.1136,0.0909
2005,42,"Northwest","ahec",1464768,0.29,0.0952,0.0714
2006,43,"Northwest","ahec",1484611,0.29,0.1163,0.093
2007,48,"Northwest","ahec",1504826,0.32,0.1042,0.1458
2008,48,"Northwest","ahec",1524295,0.31,0.1458,0.1458
2009,44,"Northwest","ahec",1546737,0.28,0.1364,0.1136
2010,47,"Northwest","ahec",1558340,0.3,0.1489,0.1277
2011,50,"Northwest","ahec",1563589,0.32,0.12,0.16
2012,55,"Northwest","ahec",1566740,0.35,0.1455,0.1455
2013,54,"Northwest","ahec",1571258,0.34,0.1481,0.1481
2014,51,"Northwest","ahec",1579059,0.32,0.1569,0.1373
2015,50,"Northwest","ahec",1586703,0.32,0.16,0.1
2016,55,"Northwest","ahec",1598199,0.34,0.2182,0.1091
2017,56,"Northwest","ahec",1610400,0.35,0.2321,0.1607
2000,13,"South East","ahec",378344,0.34,0.0769,0.0769
2001,15,"South East","ahec",387182,0.39,0.1333,0.0667
2002,15,"South East","ahec",395768,0.38,0.0667,0.0667
2003,15,"South East","ahec",404351,0.37,0.1333,0
2004,15,"South East","ahec",408125,0.37,0.1333,0
2005,15,"South East","ahec",418333,0.36,0.1333,0
2006,16,"South East","ahec",435180,0.37,0.125,0
2007,19,"South East","ahec",447385,0.42,0.1579,0
2008,19,"South East","ahec",455190,0.42,0.2105,0.0526
2009,19,"South East","ahec",464312,0.41,0.2105,0.0526
2010,20,"South East","ahec",481052,0.42,0.2,0.1
2011,18,"South East","ahec",487484,0.37,0.1667,0.1667
2012,17,"South East","ahec",494872,0.34,0.1765,0.1176
2013,17,"South East","ahec",502936,0.34,0.1765,0.1176
2014,16,"South East","ahec",509080,0.31,0.1875,0.1875
2015,17,"South East","ahec",518781,0.33,0.1765,0.1765
2016,17,"South East","ahec",527596,0.32,0.1765,0.1765
2017,18,"South East","ahec",536440,0.34,0.1667,0.1667
2000,18,"Southern Regional","ahec",800743,0.22,0.1667,0
2001,18,"Southern Regional","ahec",805745,0.22,0.1667,0
2002,21,"Southern Regional","ahec",819180,0.26,0.1429,0
2003,19,"Southern Regional","ahec",832613,0.23,0.1053,0
2004,21,"Southern Regional","ahec",836143,0.25,0.0952,0
2005,20,"Southern Regional","ahec",842634,0.24,0.15,0.05
2006,18,"Southern Regional","ahec",844402,0.21,0.1667,0.1111
2007,23,"Southern Regional","ahec",856935,0.27,0.1739,0.087
2008,23,"Southern Regional","ahec",868197,0.26,0.2174,0.1304
2009,21,"Southern Regional","ahec",879444,0.24,0.2381,0.1429
2010,20,"Southern Regional","ahec",888443,0.23,0.25,0.15
2011,23,"Southern Regional","ahec",900751,0.26,0.2609,0.1304
2012,23,"Southern Regional","ahec",909169,0.25,0.2174,0.1304
2013,29,"Southern Regional","ahec",914274,0.32,0.2414,0.1034
2014,26,"Southern Regional","ahec",913874,0.28,0.3077,0.0385
2015,24,"Southern Regional","ahec",915808,0.26,0.25,0.0417
2016,24,"Southern Regional","ahec",918447,0.26,0.2083,0.0417
2017,24,"Southern Regional","ahec",921525,0.26,0.2083,0.0833
2000,35,"Wake AHEC","ahec",1216472,0.29,0.1429,0.0286
2001,35,"Wake AHEC","ahec",1261899,0.28,0.1429,0.0286
2002,34,"Wake AHEC","ahec",1296091,0.26,0.1176,0.0294
2003,34,"Wake AHEC","ahec",1330283,0.26,0.1176,0.0294
2004,38,"Wake AHEC","ahec",1360676,0.28,0.1579,0.0263
2005,36,"Wake AHEC","ahec",1395041,0.26,0.1389,0.0278
2006,38,"Wake AHEC","ahec",1454152,0.26,0.1316,0.0263
2007,39,"Wake AHEC","ahec",1514267,0.26,0.1282,0.0256
2008,40,"Wake AHEC","ahec",1560428,0.26,0.15,0.05
2009,42,"Wake AHEC","ahec",1604088,0.26,0.1667,0.0238
2010,45,"Wake AHEC","ahec",1631633,0.28,0.1778,0.0222
2011,44,"Wake AHEC","ahec",1657781,0.27,0.1591,0.0227
2012,48,"Wake AHEC","ahec",1686053,0.28,0.1875,0.0208
2013,47,"Wake AHEC","ahec",1712629,0.27,0.1702,0.0426
2014,52,"Wake AHEC","ahec",1742928,0.3,0.1731,0.0385
2015,58,"Wake AHEC","ahec",1776174,0.33,0.2241,0.069
2016,55,"Wake AHEC","ahec",1806644,0.3,0.2182,0.0364
2017,57,"Wake AHEC","ahec",1840349,0.31,0.2105,0.0351
2000,2,"Alamance","county",130800,0.15,-9,-9
2001,3,"Alamance","county",133598,0.22,-9,-9
2002,4,"Alamance","county",136034,0.29,-9,-9
2003,2,"Alamance","county",138471,0.14,-9,-9
2004,4,"Alamance","county",138754,0.29,-9,-9
2005,4,"Alamance","county",138788,0.29,-9,-9
2006,4,"Alamance","county",139786,0.29,-9,-9
2007,4,"Alamance","county",143154,0.28,-9,-9
2008,5,"Alamance","county",146025,0.34,0,0
2009,4,"Alamance","county",148361,0.27,-9,-9
2010,4,"Alamance","county",151745,0.26,-9,-9
2011,4,"Alamance","county",152531,0.26,-9,-9
2012,4,"Alamance","county",153029,0.26,-9,-9
2013,4,"Alamance","county",153595,0.26,-9,-9
2014,3,"Alamance","county",155789,0.19,-9,-9
2015,3,"Alamance","county",157522,0.19,-9,-9
2016,3,"Alamance","county",159054,0.19,-9,-9
2017,3,"Alamance","county",161076,0.19,-9,-9
2000,0,"Alexander","county",33603,0,-9,-9
2001,0,"Alexander","county",33961,0,-9,-9
2002,0,"Alexander","county",34626,0,-9,-9
2003,0,"Alexander","county",35292,0,-9,-9
2004,0,"Alexander","county",35165,0,-9,-9
2005,0,"Alexander","county",35545,0,-9,-9
2006,0,"Alexander","county",36296,0,-9,-9
2007,0,"Alexander","county",36656,0,-9,-9
2008,0,"Alexander","county",36957,0,-9,-9
2009,0,"Alexander","county",37318,0,-9,-9
2010,0,"Alexander","county",37254,0,-9,-9
2011,0,"Alexander","county",37528,0,-9,-9
2012,0,"Alexander","county",37389,0,-9,-9
2013,0,"Alexander","county",37436,0,-9,-9
2014,0,"Alexander","county",37832,0,-9,-9
2015,0,"Alexander","county",37952,0,-9,-9
2016,0,"Alexander","county",38284,0,-9,-9
2017,0,"Alexander","county",38452,0,-9,-9
2000,0,"Alleghany","county",10677,0,-9,-9
2001,0,"Alleghany","county",10754,0,-9,-9
2002,0,"Alleghany","county",10866,0,-9,-9
2003,0,"Alleghany","county",10978,0,-9,-9
2004,0,"Alleghany","county",10912,0,-9,-9
2005,0,"Alleghany","county",10913,0,-9,-9
2006,0,"Alleghany","county",11000,0,-9,-9
2007,0,"Alleghany","county",11088,0,-9,-9
2008,0,"Alleghany","county",11075,0,-9,-9
2009,0,"Alleghany","county",11227,0,-9,-9
2010,0,"Alleghany","county",11171,0,-9,-9
2011,0,"Alleghany","county",11069,0,-9,-9
2012,0,"Alleghany","county",10971,0,-9,-9
2013,0,"Alleghany","county",11052,0,-9,-9
2014,0,"Alleghany","county",11099,0,-9,-9
2015,0,"Alleghany","county",11190,0,-9,-9
2016,0,"Alleghany","county",11202,0,-9,-9
2017,0,"Alleghany","county",11233,0,-9,-9
2000,0,"Anson","county",25275,0,-9,-9
2001,0,"Anson","county",25323,0,-9,-9
2002,0,"Anson","county",25496,0,-9,-9
2003,0,"Anson","county",25671,0,-9,-9
2004,0,"Anson","county",25384,0,-9,-9
2005,0,"Anson","county",25848,0,-9,-9
2006,0,"Anson","county",25372,0,-9,-9
2007,0,"Anson","county",25332,0,-9,-9
2008,0,"Anson","county",25368,0,-9,-9
2009,0,"Anson","county",25193,0,-9,-9
2010,0,"Anson","county",26973,0,-9,-9
2011,0,"Anson","county",25822,0,-9,-9
2012,0,"Anson","county",26626,0,-9,-9
2013,0,"Anson","county",26318,0,-9,-9
2014,0,"Anson","county",26468,0,-9,-9
2015,0,"Anson","county",26155,0,-9,-9
2016,0,"Anson","county",25628,0,-9,-9
2017,0,"Anson","county",25626,0,-9,-9
2000,0,"Ashe","county",24384,0,-9,-9
2001,0,"Ashe","county",24799,0,-9,-9
2002,0,"Ashe","county",24970,0,-9,-9
2003,0,"Ashe","county",25142,0,-9,-9
2004,0,"Ashe","county",25320,0,-9,-9
2005,0,"Ashe","county",25279,0,-9,-9
2006,0,"Ashe","county",25778,0,-9,-9
2007,0,"Ashe","county",26003,0,-9,-9
2008,0,"Ashe","county",26325,0,-9,-9
2009,0,"Ashe","county",26498,0,-9,-9
2010,0,"Ashe","county",27378,0,-9,-9
2011,0,"Ashe","county",27423,0,-9,-9
2012,0,"Ashe","county",27361,0,-9,-9
2013,0,"Ashe","county",27434,0,-9,-9
2014,0,"Ashe","county",27448,0,-9,-9
2015,0,"Ashe","county",27332,0,-9,-9
2016,0,"Ashe","county",27344,0,-9,-9
2017,0,"Ashe","county",27218,0,-9,-9
2000,0,"Avery","county",17167,0,-9,-9
2001,0,"Avery","county",17706,0,-9,-9
2002,0,"Avery","county",17844,0,-9,-9
2003,0,"Avery","county",17980,0,-9,-9
2004,0,"Avery","county",18221,0,-9,-9
2005,0,"Avery","county",18195,0,-9,-9
2006,0,"Avery","county",18174,0,-9,-9
2007,0,"Avery","county",18292,0,-9,-9
2008,0,"Avery","county",18429,0,-9,-9
2009,0,"Avery","county",18301,0,-9,-9
2010,0,"Avery","county",17812,0,-9,-9
2011,0,"Avery","county",17834,0,-9,-9
2012,0,"Avery","county",17764,0,-9,-9
2013,0,"Avery","county",17872,0,-9,-9
2014,0,"Avery","county",17895,0,-9,-9
2015,0,"Avery","county",17816,0,-9,-9
2016,0,"Avery","county",18098,0,-9,-9
2017,0,"Avery","county",18072,0,-9,-9
2000,3,"Beaufort","county",44958,0.67,-9,-9
2001,4,"Beaufort","county",45340,0.88,-9,-9
2002,5,"Beaufort","county",45566,1.1,0.4,0.2
2003,4,"Beaufort","county",45792,0.87,-9,-9
2004,4,"Beaufort","county",45816,0.87,-9,-9
2005,4,"Beaufort","county",46077,0.87,-9,-9
2006,4,"Beaufort","county",46344,0.86,-9,-9
2007,5,"Beaufort","county",46070,1.09,0.4,0.2
2008,5,"Beaufort","county",46600,1.07,0.4,0.2
2009,3,"Beaufort","county",47401,0.63,-9,-9
2010,3,"Beaufort","county",47929,0.63,-9,-9
2011,3,"Beaufort","county",47854,0.63,-9,-9
2012,3,"Beaufort","county",47901,0.63,-9,-9
2013,3,"Beaufort","county",47777,0.63,-9,-9
2014,3,"Beaufort","county",47717,0.63,-9,-9
2015,3,"Beaufort","county",47829,0.63,-9,-9
2016,4,"Beaufort","county",47610,0.84,-9,-9
2017,4,"Beaufort","county",47547,0.84,-9,-9
2000,0,"Bertie","county",19773,0,-9,-9
2001,0,"Bertie","county",19857,0,-9,-9
2002,0,"Bertie","county",19753,0,-9,-9
2003,0,"Bertie","county",19649,0,-9,-9
2004,0,"Bertie","county",19748,0,-9,-9
2005,0,"Bertie","county",19700,0,-9,-9
2006,0,"Bertie","county",19352,0,-9,-9
2007,0,"Bertie","county",19971,0,-9,-9
2008,0,"Bertie","county",20072,0,-9,-9
2009,0,"Bertie","county",20104,0,-9,-9
2010,0,"Bertie","county",21313,0,-9,-9
2011,0,"Bertie","county",20890,0,-9,-9
2012,0,"Bertie","county",20665,0,-9,-9
2013,0,"Bertie","county",20595,0,-9,-9
2014,0,"Bertie","county",20617,0,-9,-9
2015,0,"Bertie","county",20533,0,-9,-9
2016,0,"Bertie","county",19847,0,-9,-9
2017,0,"Bertie","county",19881,0,-9,-9
2000,0,"Bladen","county",32278,0,-9,-9
2001,0,"Bladen","county",32416,0,-9,-9
2002,0,"Bladen","county",32819,0,-9,-9
2003,0,"Bladen","county",33222,0,-9,-9
2004,0,"Bladen","county",33119,0,-9,-9
2005,0,"Bladen","county",33204,0,-9,-9
2006,0,"Bladen","county",32872,0,-9,-9
2007,0,"Bladen","county",32500,0,-9,-9
2008,0,"Bladen","county",32184,0,-9,-9
2009,0,"Bladen","county",32046,0,-9,-9
2010,0,"Bladen","county",35243,0,-9,-9
2011,0,"Bladen","county",35148,0,-9,-9
2012,0,"Bladen","county",35200,0,-9,-9
2013,0,"Bladen","county",35209,0,-9,-9
2014,0,"Bladen","county",35113,0,-9,-9
2015,0,"Bladen","county",35011,0,-9,-9
2016,0,"Bladen","county",34667,0,-9,-9
2017,0,"Bladen","county",34393,0,-9,-9
2000,1,"Brunswick","county",73143,0.14,-9,-9
2001,1,"Brunswick","county",76892,0.13,-9,-9
2002,2,"Brunswick","county",78822,0.25,-9,-9
2003,2,"Brunswick","county",80751,0.25,-9,-9
2004,2,"Brunswick","county",83787,0.24,-9,-9
2005,2,"Brunswick","county",87715,0.23,-9,-9
2006,2,"Brunswick","county",94964,0.21,-9,-9
2007,2,"Brunswick","county",99440,0.2,-9,-9
2008,3,"Brunswick","county",102877,0.29,-9,-9
2009,3,"Brunswick","county",107135,0.28,-9,-9
2010,3,"Brunswick","county",108176,0.28,-9,-9
2011,3,"Brunswick","county",110140,0.27,-9,-9
2012,3,"Brunswick","county",112597,0.27,-9,-9
2013,3,"Brunswick","county",115716,0.26,-9,-9
2014,3,"Brunswick","county",117834,0.25,-9,-9
2015,3,"Brunswick","county",123535,0.24,-9,-9
2016,3,"Brunswick","county",127750,0.23,-9,-9
2017,3,"Brunswick","county",131726,0.23,-9,-9
2000,7,"Buncombe","county",206330,0.34,0.1429,0
2001,7,"Buncombe","county",208593,0.34,0.1429,0
2002,7,"Buncombe","county",212044,0.33,0.1429,0
2003,9,"Buncombe","county",215496,0.42,0.1111,0
2004,8,"Buncombe","county",215468,0.37,0.125,0
2005,10,"Buncombe","county",217423,0.46,0.2,0
2006,11,"Buncombe","county",221327,0.5,0.1818,0
2007,11,"Buncombe","county",225609,0.49,0.1818,0
2008,11,"Buncombe","county",227914,0.48,0.2727,0
2009,11,"Buncombe","county",230450,0.48,0.2727,0
2010,10,"Buncombe","county",239179,0.42,0.3,0.1
2011,11,"Buncombe","county",243855,0.45,0.2727,0.0909
2012,11,"Buncombe","county",245535,0.45,0.2727,0.0909
2013,10,"Buncombe","county",248872,0.4,0.3,0
2014,10,"Buncombe","county",251275,0.4,0.3,0
2015,10,"Buncombe","county",254836,0.39,0.3,0.1
2016,10,"Buncombe","county",258406,0.39,0.3,0.1
2017,11,"Buncombe","county",261532,0.42,0.3636,0.2727
2000,1,"Burke","county",89148,0.11,-9,-9
2001,1,"Burke","county",89028,0.11,-9,-9
2002,1,"Burke","county",90485,0.11,-9,-9
2003,1,"Burke","county",91943,0.11,-9,-9
2004,1,"Burke","county",89943,0.11,-9,-9
2005,1,"Burke","county",89077,0.11,-9,-9
2006,1,"Burke","county",88664,0.11,-9,-9
2007,1,"Burke","county",88439,0.11,-9,-9
2008,1,"Burke","county",89274,0.11,-9,-9
2009,1,"Burke","county",89669,0.11,-9,-9
2010,1,"Burke","county",91008,0.11,-9,-9
2011,1,"Burke","county",90722,0.11,-9,-9
2012,1,"Burke","county",89977,0.11,-9,-9
2013,1,"Burke","county",89519,0.11,-9,-9
2014,1,"Burke","county",89197,0.11,-9,-9
2015,1,"Burke","county",89114,0.11,-9,-9
2016,1,"Burke","county",89814,0.11,-9,-9
2017,1,"Burke","county",90246,0.11,-9,-9
2000,5,"Cabarrus","county",131063,0.38,0,0.2
2001,4,"Cabarrus","county",136316,0.29,-9,-9
2002,4,"Cabarrus","county",139811,0.29,-9,-9
2003,3,"Cabarrus","county",143306,0.21,-9,-9
2004,3,"Cabarrus","county",146852,0.2,-9,-9
2005,4,"Cabarrus","county",150249,0.27,-9,-9
2006,4,"Cabarrus","county",157176,0.25,-9,-9
2007,4,"Cabarrus","county",164384,0.24,-9,-9
2008,4,"Cabarrus","county",170448,0.23,-9,-9
2009,4,"Cabarrus","county",174294,0.23,-9,-9
2010,5,"Cabarrus","county",179025,0.28,0.2,0
2011,5,"Cabarrus","county",181253,0.28,0.2,0.2
2012,2,"Cabarrus","county",183565,0.11,-9,-9
2013,3,"Cabarrus","county",186457,0.16,-9,-9
2014,2,"Cabarrus","county",191060,0.1,-9,-9
2015,2,"Cabarrus","county",195714,0.1,-9,-9
2016,2,"Cabarrus","county",200663,0.1,-9,-9
2017,2,"Cabarrus","county",205473,0.1,-9,-9
2000,2,"Caldwell","county",77415,0.26,-9,-9
2001,2,"Caldwell","county",77618,0.26,-9,-9
2002,3,"Caldwell","county",78237,0.38,-9,-9
2003,2,"Caldwell","county",78856,0.25,-9,-9
2004,1,"Caldwell","county",78606,0.13,-9,-9
2005,1,"Caldwell","county",78816,0.13,-9,-9
2006,1,"Caldwell","county",79297,0.13,-9,-9
2007,1,"Caldwell","county",79376,0.13,-9,-9
2008,1,"Caldwell","county",80038,0.12,-9,-9
2009,1,"Caldwell","county",80141,0.12,-9,-9
2010,1,"Caldwell","county",83176,0.12,-9,-9
2011,1,"Caldwell","county",83117,0.12,-9,-9
2012,2,"Caldwell","county",82605,0.24,-9,-9
2013,1,"Caldwell","county",82504,0.12,-9,-9
2014,2,"Caldwell","county",82445,0.24,-9,-9
2015,2,"Caldwell","county",82577,0.24,-9,-9
2016,2,"Caldwell","county",82793,0.24,-9,-9
2017,1,"Caldwell","county",83303,0.12,-9,-9
2000,0,"Camden","county",6885,0,-9,-9
2001,0,"Camden","county",7075,0,-9,-9
2002,0,"Camden","county",7170,0,-9,-9
2003,0,"Camden","county",7265,0,-9,-9
2004,0,"Camden","county",7852,0,-9,-9
2005,0,"Camden","county",8881,0,-9,-9
2006,0,"Camden","county",9298,0,-9,-9
2007,0,"Camden","county",9519,0,-9,-9
2008,0,"Camden","county",9657,0,-9,-9
2009,0,"Camden","county",9655,0,-9,-9
2010,0,"Camden","county",10000,0,-9,-9
2011,0,"Camden","county",9921,0,-9,-9
2012,0,"Camden","county",9922,0,-9,-9
2013,0,"Camden","county",10174,0,-9,-9
2014,0,"Camden","county",10251,0,-9,-9
2015,0,"Camden","county",10224,0,-9,-9
2016,0,"Camden","county",10287,0,-9,-9
2017,0,"Camden","county",10359,0,-9,-9
2000,1,"Carteret","county",59383,0.17,-9,-9
2001,2,"Carteret","county",59600,0.34,-9,-9
2002,2,"Carteret","county",60157,0.33,-9,-9
2003,2,"Carteret","county",60712,0.33,-9,-9
2004,3,"Carteret","county",61122,0.49,-9,-9
2005,3,"Carteret","county",62436,0.48,-9,-9
2006,3,"Carteret","county",63557,0.47,-9,-9
2007,3,"Carteret","county",63294,0.47,-9,-9
2008,3,"Carteret","county",63535,0.47,-9,-9
2009,3,"Carteret","county",64724,0.46,-9,-9
2010,3,"Carteret","county",66712,0.45,-9,-9
2011,4,"Carteret","county",67696,0.59,-9,-9
2012,3,"Carteret","county",68362,0.44,-9,-9
2013,2,"Carteret","county",69239,0.29,-9,-9
2014,2,"Carteret","county",69350,0.29,-9,-9
2015,2,"Carteret","county",69826,0.29,-9,-9
2016,2,"Carteret","county",69881,0.29,-9,-9
2017,2,"Carteret","county",70190,0.28,-9,-9
2000,1,"Caswell","county",23501,0.43,-9,-9
2001,1,"Caswell","county",23718,0.42,-9,-9
2002,1,"Caswell","county",24014,0.42,-9,-9
2003,1,"Caswell","county",24310,0.41,-9,-9
2004,1,"Caswell","county",23965,0.42,-9,-9
2005,1,"Caswell","county",23857,0.42,-9,-9
2006,1,"Caswell","county",23541,0.42,-9,-9
2007,1,"Caswell","county",23508,0.43,-9,-9
2008,1,"Caswell","county",23356,0.43,-9,-9
2009,1,"Caswell","county",23464,0.43,-9,-9
2010,1,"Caswell","county",23676,0.42,-9,-9
2011,1,"Caswell","county",23654,0.42,-9,-9
2012,1,"Caswell","county",23492,0.43,-9,-9
2013,1,"Caswell","county",23844,0.42,-9,-9
2014,1,"Caswell","county",23602,0.42,-9,-9
2015,1,"Caswell","county",23606,0.42,-9,-9
2016,1,"Caswell","county",23689,0.42,-9,-9
2017,1,"Caswell","county",23699,0.42,-9,-9
2000,6,"Catawba","county",141685,0.42,0,0
2001,6,"Catawba","county",145106,0.41,0,0
2002,6,"Catawba","county",147428,0.41,0,0
2003,7,"Catawba","county",149750,0.47,0,0
2004,8,"Catawba","county",148797,0.54,0,0
2005,9,"Catawba","county",149416,0.6,0,0
2006,9,"Catawba","county",151126,0.6,0,0
2007,9,"Catawba","county",153404,0.59,0,0
2008,9,"Catawba","county",154972,0.58,0,0.1111
2009,8,"Catawba","county",157034,0.51,0,0
2010,8,"Catawba","county",154654,0.52,0,0
2011,8,"Catawba","county",154992,0.52,0,0
2012,6,"Catawba","county",155494,0.39,0,0
2013,6,"Catawba","county",155411,0.39,0,0
2014,6,"Catawba","county",155830,0.39,0,0
2015,5,"Catawba","county",155828,0.32,0,0
2016,5,"Catawba","county",156473,0.32,0,0
2017,6,"Catawba","county",156949,0.38,0.1667,0
2000,0,"Chatham","county",49329,0,-9,-9
2001,0,"Chatham","county",50952,0,-9,-9
2002,0,"Chatham","county",51964,0,-9,-9
2003,0,"Chatham","county",52976,0,-9,-9
2004,0,"Chatham","county",54645,0,-9,-9
2005,0,"Chatham","county",56274,0,-9,-9
2006,0,"Chatham","county",57708,0,-9,-9
2007,0,"Chatham","county",59168,0,-9,-9
2008,0,"Chatham","county",60895,0,-9,-9
2009,0,"Chatham","county",62492,0,-9,-9
2010,0,"Chatham","county",63870,0,-9,-9
2011,0,"Chatham","county",64553,0,-9,-9
2012,0,"Chatham","county",66545,0,-9,-9
2013,1,"Chatham","county",67620,0.15,-9,-9
2014,0,"Chatham","county",68725,0,-9,-9
2015,0,"Chatham","county",71815,0,-9,-9
2016,0,"Chatham","county",73286,0,-9,-9
2017,0,"Chatham","county",74835,0,-9,-9
2000,0,"Cherokee","county",24298,0,-9,-9
2001,0,"Cherokee","county",24704,0,-9,-9
2002,0,"Cherokee","county",25082,0,-9,-9
2003,0,"Cherokee","county",25460,0,-9,-9
